"date","Duration","adjusted","log_return","Bond_Index"
2023-04-25,"2-Year",103.42578125,0.00367028431013682,"ZT=F"
2023-04-26,"2-Year",103.359375,-0.000642272912495818,"ZT=F"
2023-04-27,"2-Year",103.03125,-0.00317965291737968,"ZT=F"
2023-04-28,"2-Year",103.08203125,0.000492750886498179,"ZT=F"
2023-05-01,"2-Year",102.94140625,-0.00136513615679312,"ZT=F"
2023-05-02,"2-Year",103.2421875,0.00291760811706284,"ZT=F"
2023-05-03,"2-Year",103.3203125,0.000756429688110575,"ZT=F"
2023-05-04,"2-Year",103.73046875,0.00396189557005411,"ZT=F"
2023-05-05,"2-Year",103.3515625,-0.00365948383417408,"ZT=F"
2023-05-08,"2-Year",103.16796875,-0.00177798000270165,"ZT=F"
2023-05-09,"2-Year",103.1484375,-0.000189332980477332,"ZT=F"
2023-05-10,"2-Year",103.375,0.00219406178427154,"ZT=F"
2023-05-11,"2-Year",103.3515625,-0.00022674880109242,"ZT=F"
2023-05-12,"2-Year",103.16015625,-0.00185370889330958,"ZT=F"
2023-05-15,"2-Year",103.16015625,0,"ZT=F"
2023-05-16,"2-Year",103.01953125,-0.0013641016097275,"ZT=F"
2023-05-17,"2-Year",102.8515625,-0.00163178602893321,"ZT=F"
2023-05-18,"2-Year",102.640625,-0.00205299847799151,"ZT=F"
2023-05-19,"2-Year",102.59375,-0.000456794830934913,"ZT=F"
2023-05-22,"2-Year",102.53515625,-0.000571287125396088,"ZT=F"
2023-05-23,"2-Year",102.49609375,-0.000381039480299993,"ZT=F"
2023-05-24,"2-Year",102.3828125,-0.00110583625828052,"ZT=F"
2023-05-25,"2-Year",102.10546875,-0.00271256541805547,"ZT=F"
2023-05-26,"2-Year",101.93359375,-0.00168472682188286,"ZT=F"
2023-05-30,"2-Year",102.1015625,0.00164646907946764,"ZT=F"
2023-05-31,"2-Year",102.2734375,0.00168195758306302,"ZT=F"
2023-06-01,"2-Year",102.39453125,0.00118331915706837,"ZT=F"
2023-06-02,"2-Year",102.1171875,-0.00271225455161558,"ZT=F"
2023-06-05,"2-Year",102.16796875,0.000497160459214274,"ZT=F"
2023-06-06,"2-Year",102.08203125,-0.00084149331770975,"ZT=F"
2023-06-07,"2-Year",102.06640625,-0.00015307489218981,"ZT=F"
2023-06-08,"2-Year",102.1328125,0.000650406526993407,"ZT=F"
2023-06-09,"2-Year",101.9765625,-0.00153104217307029,"ZT=F"
2023-06-12,"2-Year",102.0546875,0.00076581409777339,"ZT=F"
2023-06-13,"2-Year",101.84375,-0.00206904552911113,"ZT=F"
2023-06-14,"2-Year",101.8515625,7.67077053267167e-05,"ZT=F"
2023-06-15,"2-Year",101.98046875,0.00126482836279191,"ZT=F"
2023-06-16,"2-Year",101.9609375,-0.000191537858043061,"ZT=F"
2023-06-20,"2-Year",102.01171875,0.000497922142926205,"ZT=F"
